id,project_id,assignee_id,title,description,status,due_date,evaluation_score
43d8feb2-a7aa-4ae2-bc07-b01e9985c2cf,proj-1,emp-22,Seamless radical middleware,Nature usage quart appartenir tellement mort consulter.,Terminé,2022-08-03,67
1f15b00a-53f6-4fc1-b96e-cf0038a51618,proj-1,emp-60,Phased motivating collaboration,اكتوبر وبريطانيا ان كنقطة تزامناً التبرعات الشرقي.,Terminé,2022-04-13,85
7eaf5985-6f12-47f4-8d77-6458a5c09d5e,proj-2,emp-96,La possibilité d'évoluer avant-tout,Fixe remercier poésie arrivée parmi.,Terminé,2024-03-01,63
4d483b0f-063f-434c-a9c8-3ad15e43bd7f,proj-2,emp-8,L'art d'avancer à la pointe,Exist rich prevent trade their four.,Terminé,2023-08-10,74
3316a9c4-1b84-4b98-a577-46bc1d4ff45f,proj-2,emp-25,Switchable client-server hardware,Cercle président barbe mine paupière envoyer.,Terminé,2023-07-07,86
dbda7d82-f5b6-40c4-b50d-d155bf52c578,proj-2,emp-65,Synchronized tangible support,Behavior provide meet adult final week game.,Terminé,2023-11-27,93
8be0d1fd-a7d5-41ca-9a78-a3ca957ffe55,proj-2,emp-24,L'assurance d'avancer à la pointe,Also from short capital heavy class story.,Terminé,2023-11-06,56
5464e40f-b9bf-4cfe-9e37-8af855bfcaa3,proj-2,emp-45,Down-sized uniform intranet,باستحداث لإعادة وهولندا سنغافورة لم مسؤولية.,Terminé,2024-06-05,71
c3e5d5a2-047b-4cb6-b92e-494e24e1c9d6,proj-2,emp-4,Public-key disintermediate function,Fait trop vivre impossible drame.,Terminé,2023-08-30,77
9ed017b4-78dc-4323-adc5-5c360431bece,proj-2,emp-5,Le confort de changer de manière sûre,Their appear lose he.,Terminé,2024-03-10,73
932422b5-f097-4719-bc8d-70dc66ecac6b,proj-2,emp-26,Universal multi-state capability,Recueillir donc tant chef.,Terminé,2024-03-02,91
6108a2e3-5cb6-45e5-87f7-95097cb65875,proj-2,emp-60,Le pouvoir de rouler autrement,Dog yes heart agreement us stuff.,Terminé,2023-11-17,94
81032440-41d7-4fb7-812e-57d347ea6641,proj-3,emp-29,Managed client-server challenge,وتنصيب بنقطة هامش لهذه بمحاولة.,Terminé,2023-12-17,81
15cb4de3-c28b-461b-a16b-f36a1a137966,proj-3,emp-93,Adaptive attitude-oriented adapter,Se mensonge propos malade ça.,Terminé,2023-10-06,76
ef43abe1-3ee3-4705-8da9-76f7dd13ad8c,proj-3,emp-22,L'assurance d'avancer de manière efficace,عرفها شواطيء إحكام هناك تحرّك ثم.,Terminé,2024-06-12,63
2bf34234-7d1d-40ea-b51d-15cb14e25f9a,proj-3,emp-92,Profound object-oriented encoding,Fact ability good number.,Terminé,2024-08-10,76
8ed8b124-e223-4cb4-bca5-604db4a56d47,proj-3,emp-26,Synchronized static artificial intelligence,Attack moment medical write never hospital.,Terminé,2024-05-15,58
b956f440-22f7-4dcd-9861-f317f5071539,proj-3,emp-99,La liberté d'atteindre vos buts avant-tout,Exiger auquel déposer.,Terminé,2024-06-20,59
19539246-fd06-4854-916e-5aeabcd7edca,proj-3,emp-85,Self-enabling bi-directional throughput,Card good full poor store range.,Terminé,2024-10-01,94
fae4f298-5965-4494-9355-fa81c57f8b8f,proj-3,emp-40,Polarized responsive contingency,كُلفة وفرنسا أم الجوي.,Terminé,2023-10-12,57
bc2bf920-1274-4e2e-bd4b-97a79b2d5423,proj-3,emp-72,Balanced foreground function,Writer myself education send course ground.,Terminé,2024-09-18,81
25bc3e7e-3f39-40fc-90ae-bd8cd4641f99,proj-3,emp-6,Streamlined full-range flexibility,بعدم ببه بعشوائية وكسبت اليابان الثالث.,Terminé,2024-06-14,94
3251e3aa-0ea4-40cd-a21b-259d97bee115,proj-3,emp-12,Proactive holistic website,Song risk bad own state.,Terminé,2024-01-22,85
a0e5c210-8119-4b9e-b5d3-15cdf513eff9,proj-3,emp-9,Implemented fresh-thinking benchmark,فاتّبع المتساقطة ساعة بريطانيا-فرنسا قبل انه.,Terminé,2023-09-24,57
4a92056f-a767-4ffe-8765-4d74a77f69fb,proj-3,emp-60,Upgradable heuristic pricing structure,Passage respecter assez planche frapper.,Terminé,2023-12-30,86
581c9b10-0996-4b17-805d-af1fc89293b4,proj-3,emp-40,User-friendly systematic complexity,واتّجه فكانت بعرض الأمريكية.,Terminé,2024-04-13,96
1aebeb4b-6c75-48dd-9df1-c6341360f433,proj-3,emp-34,Vision-oriented secondary hierarchy,Tu ancien chiffre hôtel fatiguer hier.,Terminé,2023-12-31,85
5b65f829-fdec-471f-9336-424b44d70088,proj-3,emp-3,Re-engineered client-driven moderator,Enfermer doute veiller ajouter consentir l'une.,Terminé,2023-09-19,56
b271a6c7-0d54-4e76-9515-bdc686fbe6e1,proj-3,emp-64,Decentralized empowering time-frame,Croix or pourquoi vue couleur chair autrement.,Terminé,2024-07-13,67
c2048587-8096-4c13-87c0-ea33975aadb0,proj-3,emp-83,Universal leadingedge array,Property remember nearly face feel church.,Terminé,2024-08-21,79
607c0441-60bd-4201-b97b-f573c26b386e,proj-4,emp-13,Total scalable conglomeration,De voici respirer demander le exposer mort.,Terminé,2025-08-14,90
4ec794c3-3fd1-4902-b78e-93f29dc095bf,proj-4,emp-11,L'avantage d'avancer plus rapidement,Yeux prison maître règle saint autrefois.,Terminé,2025-10-17,83
0ba25351-eacc-48aa-a577-8c1d60587908,proj-4,emp-41,Le droit de concrétiser vos projets à l'état pur,Campaign stop necessary onto should can.,Terminé,2025-08-24,78
fa0c1483-d573-4499-b40a-b3da7aa00ea4,proj-4,emp-51,Centralized bottom-line model,الباهضة المواد كل انتباه وعُرفت.,Terminé,2025-08-07,76
66ddd8a9-345b-4d6d-b8be-2af4bee43f08,proj-4,emp-25,L'assurance de changer à l'état pur,By field move maybe collection.,Terminé,2025-08-11,70
aebbfbd8-7960-4531-a09e-9c58f27b86ef,proj-4,emp-demo-fatima,Distributed composite protocol,Front under American tell ball we side enough.,Terminé,2025-08-29,92
14d0ee36-82ed-4b93-89f1-138581aef145,proj-4,emp-91,Visionary object-oriented instruction set,Marriage phone face.,Terminé,2025-10-07,81
1cc5db89-2364-4546-848a-ce30bbaa74ed,proj-4,emp-1,Le plaisir de rouler plus facilement,Joli courir oeuvre énergie prison puissance.,Terminé,2025-08-01,91
b8ef5b61-b220-4269-a9c5-85889d712bde,proj-4,emp-100,Le confort de louer à la pointe,Five letter environment easy.,Terminé,2025-08-07,70
6511394b-6bac-42e0-869a-d752119556fc,proj-4,emp-3,Business-focused explicit info-mediaries,Eat tend civil force officer fine.,Terminé,2025-08-16,59
ea6bdb6d-d85c-4742-bbef-7d0304737473,proj-4,emp-19,Proactive multimedia Local Area Network,Lettre beau fonction immense dépasser.,Terminé,2025-09-05,83
31f4cede-67d7-4002-bf51-ffe23f0769ab,proj-4,emp-36,Multi-channeled actuating application,Nu semblable plein drôle accord bruit cesser.,Terminé,2025-09-13,57
16120b6e-86a6-4c1f-9af8-885b8be313b1,proj-4,emp-79,Le pouvoir de louer de manière efficace,Montrer corde mettre.,Terminé,2025-08-31,93
a69d6192-23b7-40c4-b6be-d93314e2bac4,proj-4,emp-12,Networked motivating knowledge user,Stay perhaps particularly campaign benefit.,Terminé,2025-10-16,73
7de0af79-ba7d-4558-8609-f3c10b932139,proj-4,emp-57,La possibilité de louer de manière sûre,ساعة بتحت أمام أما كما.,Terminé,2025-10-23,80
6ab87e67-400d-4408-a412-7b82d7c90c86,proj-4,emp-80,Le confort d'évoluer avant-tout,Class wrong school federal from stock.,Terminé,2025-08-09,62
b995f969-d9cc-4646-81ee-bd258f23cb2b,proj-4,emp-28,Pre-emptive tertiary open system,Rose fait pleurer violent nerveux retirer promener.,Terminé,2025-10-08,59
76f10d8e-cef3-4b3c-9df8-8e6c01f15a3f,proj-4,emp-59,Self-enabling 4thgeneration policy,Vers repas remonter musique produire.,Terminé,2025-09-14,68
67ea45c9-b211-4c79-9c7e-b8f195857de1,proj-4,emp-52,Polarized composite moderator,Simple herself start drug occur red course kid.,Terminé,2025-09-07,69
c6f28c8c-68ec-4dee-8e6f-635bb1cb4379,proj-4,emp-95,Le pouvoir de changer autrement,Turn their save artist catch debate foot production.,Terminé,2025-10-09,78
922475ac-9136-450c-81c4-5c8dc3ea4491,proj-4,emp-79,Multi-tiered foreground conglomeration,Etc événement relation prochain paupière pourquoi ombre.,Terminé,2025-08-31,73
1b2356c8-69d3-425c-ad0f-19bc8e8f3151,proj-5,emp-22,Fully-configurable even-keeled open architecture,Trembler visite rejoindre près posséder.,Terminé,2024-06-28,60
7feffb5b-8fc3-490e-97a4-bb8d3100a0eb,proj-5,emp-25,Le droit de louer à la pointe,Explain of myself time house.,Terminé,2024-08-10,88
d765bd68-f6f0-4a8a-8ff5-3370cc555a04,proj-5,emp-22,L'assurance de rouler en toute tranquilité,Get kind either look.,Terminé,2024-06-24,90
5bcb15f1-d103-476d-af14-2a82ef48039f,proj-5,emp-88,Public-key encompassing open architecture,Case past only drug prove.,Terminé,2024-12-18,78
9b9c5340-e195-480f-ae88-ffcc8681220e,proj-5,emp-demo-admin,Face-to-face scalable emulation,بحشد لأداء اعلان مارد.,Terminé,2024-07-23,64
8cdbe15f-4606-412a-ae9b-4086f8de6e41,proj-5,emp-52,Reactive cohesive installation,Local current white fly position traditional become.,Terminé,2024-11-06,99
7218aacd-0a34-4e70-b9ee-fda447048e7a,proj-5,emp-10,Focused national support,Tree company think.,Terminé,2024-05-29,84
ad58341c-5843-4447-b070-c694329ea3a9,proj-5,emp-demo-admin,Automated hybrid toolset,Traiter venir ton sortir.,Terminé,2024-08-01,86
db885691-bd48-483f-bd52-ff2876e1f761,proj-5,emp-71,Innovative non-volatile portal,الغالي يعادل جزيرتي تاريخ وصل واحدة.,Terminé,2024-08-30,72
e799be71-a9a6-4673-b322-27fae74958ac,proj-5,emp-6,Le droit d'innover à sa source,لفشل مشاركة حقول.,Terminé,2024-06-08,74
6c17f50e-51ef-45cb-855f-46ba2744012c,proj-5,emp-74,Enhanced reciprocal productivity,Lui bas plaire conscience changer entre.,Terminé,2024-08-30,72
212700ce-edf6-4725-affe-5228bf7c7a8c,proj-5,emp-demo-karim,Adaptive empowering info-mediaries,لمحاكم وقوعها المبرمة لإنعدام أدنى غريمه قد.,Terminé,2024-08-29,86
b9697f22-0db9-4ad2-aed9-63a89308c0a6,proj-5,emp-52,Synchronized bottom-line Local Area Network,François lien supérieur prendre.,Terminé,2024-06-04,79
78e47c31-b7f2-481f-a00f-d63831953b07,proj-5,emp-22,La liberté d'innover avant-tout,Despite card check security paper.,Terminé,2024-08-29,69
190fba08-6623-4e18-a01a-e563b709330f,proj-5,emp-80,La possibilité de changer de manière sûre,والكوري اتفاقية بفصل كانتا ابتدعها حتى إحتار جمعت.,Terminé,2024-09-11,66
c55535f9-18c3-43eb-a73e-9e6ed8fa2547,proj-5,emp-2,Exclusive object-oriented monitoring,الهادي تغييرات الأراضي الحكم.,Terminé,2024-11-09,89
8bbaa48b-a14c-43b5-bf22-d6493062c24d,proj-6,emp-88,Pre-emptive background migration,Idée loup imaginer assister.,Terminé,2023-05-15,76
328f5c93-8cc9-4bee-964d-d53dca74795d,proj-6,emp-50,L'art d'avancer à la pointe,يرتبط بنقطة الفترة التقليدي.,Terminé,2023-05-29,82
a4b14e74-3612-4371-872d-7693c7bb2d02,proj-6,emp-99,Visionary secondary superstructure,Hear through large true help bag.,Terminé,2023-03-10,58
5e1e88f7-3e44-42f3-bd2e-218d44d7127a,proj-6,emp-45,Quality-focused client-driven projection,Compter marier malgré proposer.,Terminé,2023-05-28,90
f0761fa7-37d5-4cc0-8cc1-5d846e7cf246,proj-6,emp-32,Adaptive web-enabled adapter,Plein membre manquer saint désespoir étoile dos.,Terminé,2023-05-04,98
9f0a926b-ad09-4fde-9c22-0f91ba23a6d4,proj-6,emp-50,Virtual bifurcated alliance,Past view threat drive attack order.,Terminé,2023-05-09,84
41c16586-e868-4da7-92ff-aaab6cef65d6,proj-6,emp-94,Le confort de changer autrement,Attendre troubler souffrir temps parce que.,Terminé,2023-05-02,91
679cf97c-e6c7-453f-ad4c-f5cc9c1dd1bd,proj-6,emp-16,La possibilité de louer à sa source,Cher ferme rapidement inutile serrer élément.,Terminé,2023-04-14,71
0ba02694-d28b-4c9d-8309-b7d3f86fd2b0,proj-7,emp-27,Digitized maximized approach,Whose newspaper care drug data position.,Terminé,2025-02-21,60
b24b71b5-660b-4f4a-8fad-d960f535bd4a,proj-7,emp-33,Le plaisir de changer de manière efficace,Plein obtenir son consulter recommencer profondément.,Terminé,2024-07-14,89
cff4aabb-4c05-4d20-85e2-60351a60df7a,proj-7,emp-46,Extended mission-critical database,Vaincre affirmer tranquille venir car.,Terminé,2024-02-12,91
07638295-79ce-4c11-9eb6-00640f57c022,proj-7,emp-31,L'avantage de changer autrement,المنتصر العناد بلها عليها المتّبعة بأم واندونيسيا.,Terminé,2024-07-27,94
4582717f-8ea2-4c8a-8991-029e77cfa81f,proj-7,emp-80,L'art d'atteindre vos buts de manière efficace,Scientist administration network once result.,Terminé,2024-05-31,72
0154b0eb-fb61-4d3c-80a8-59767702e374,proj-7,emp-99,L'avantage de changer naturellement,Either start whom politics make collection.,Terminé,2025-02-22,96
e3b81db2-b433-4a00-8db0-0b3d8823679d,proj-7,emp-demo-fatima,Le confort de concrétiser vos projets plus facilement,Model stuff avoid stand.,Terminé,2024-03-27,93
e34e57eb-0235-4014-aaf3-62354de2db55,proj-7,emp-68,Virtual 24hour installation,الساحل كرسي أخرى تسبب بالثالث شعار فسقط شرسة.,Terminé,2024-12-27,74
62eeadb6-f220-4c57-a294-46b46175925b,proj-7,emp-29,La possibilité d'innover de manière efficace,South travel blood benefit chance court.,Terminé,2025-04-01,75
6f0f2d5e-417b-4d9e-b76c-0fea96870eb0,proj-7,emp-52,Function-based heuristic flexibility,Faux frapper moitié voiture.,Terminé,2024-09-16,66
40ebec46-986f-4e0f-aa76-9b4986fd5f9c,proj-7,emp-52,Innovative systemic artificial intelligence,Behavior here need.,Terminé,2024-01-28,56
f98c8410-bbdf-4667-810f-78b7f1ef483e,proj-7,emp-demo-admin,Sharable 24/7 standardization,تحرّك بضرب مسؤولية حصدت.,Terminé,2024-07-25,84
41ca8b2e-46b0-4110-be8f-57d56569e2c1,proj-7,emp-77,Progressive 6thgeneration emulation,بها أهّل إنطلاق وحلفاؤها وبريطانيا حتى أكثر.,Terminé,2025-03-31,85
6de0a95b-e5a9-44d2-80f5-5010d63f91bf,proj-7,emp-23,Le plaisir d'innover plus facilement,Note support quality music himself.,Terminé,2024-08-20,90
50cef9b1-9439-4c68-9890-e793d39c608b,proj-7,emp-70,Devolved system-worthy success,للحكومة انتباه استمرار الساحل إيطاليا سقطت شاسعة.,Terminé,2024-03-04,58
2aa7af55-b86c-4ee8-99a7-3cb107642b96,proj-7,emp-74,Object-based zero-defect Graphic Interface,مرمى بقسوة الربيع جيما بالجوي.,Terminé,2024-11-01,72
cfdf8d1d-4273-4284-b547-34161a34c2d4,proj-8,emp-75,Synergized optimal protocol,Relation écraser désert autrefois.,Terminé,2023-06-07,64
9ae3613b-0e7b-461c-978a-af700ab3017a,proj-8,emp-25,Le pouvoir d'évoluer à sa source,Exposer beauté très histoire recommencer bonheur.,Terminé,2023-03-30,58
f74dc756-faf2-4482-84f8-24b80db33dbf,proj-8,emp-demo-admin,Enterprise-wide intermediate knowledge user,Mention billion bed never others six tell.,Terminé,2023-04-08,96
1d58d17d-e6d6-4bde-b945-21c1b7a536c1,proj-8,emp-60,Implemented incremental info-mediaries,وبغطاء يتبقّ حول البولندي بالرّد الأول المارق.,Terminé,2023-07-04,98
f6e1f9a8-d5d5-4622-ae3a-b471b366af2e,proj-8,emp-70,Le plaisir d'évoluer autrement,Eh repas exposer triste prochain lendemain.,Terminé,2023-04-25,83
89018cf4-efa2-45b3-be77-0cfe129e6df0,proj-8,emp-66,Exclusive logistical benchmark,أخذ ببحشد وأزيز بالرّد والحزب.,Terminé,2023-06-15,57
6e347d2d-e78a-40ab-be24-ee2bb0661899,proj-8,emp-3,Le pouvoir d'évoluer en toute tranquilité,Trop coup enfermer vérité vêtement éclairer pourtant justice.,Terminé,2023-06-15,69
7ddd1bfd-2bad-4f7a-8e74-f6d8f62e71aa,proj-8,emp-28,Fully-configurable fresh-thinking implementation,Façon tout couleur vraiment condition regard.,Terminé,2023-03-18,71
65e49836-08c8-43f6-ae4a-6e8fa91febbb,proj-8,emp-41,Upgradable maximized strategy,معاملة هذا إستيلاء وإيطالي مع فقامت.,Terminé,2023-05-24,98
aa7891e7-f18c-468c-94c0-519f50552981,proj-8,emp-1,Sharable exuding encoding,Prier résistance autrement voix.,Terminé,2023-05-31,100
9bda0f48-b029-4e6f-a9c0-e203d0e82364,proj-8,emp-40,La possibilité d'atteindre vos buts à la pointe,كانت مما ذات وتم الأثناء الشرقية.,Terminé,2023-03-29,70
ca8ed8ef-c5b9-4806-b41f-86dbe497d513,proj-8,emp-60,Multi-channeled composite project,None population position.,Terminé,2023-05-11,59
5507ca98-2445-4057-bd36-524bf14551eb,proj-8,emp-61,Le plaisir de rouler plus rapidement,Long lutte nature moyen hiver.,Terminé,2023-03-25,62
bddeed3f-69c7-4787-bf3a-93da4fadbb0f,proj-9,emp-37,La liberté d'évoluer avant-tout,الآخر بحيث ومحاولة الأراضي وعلى الإتحاد المدن.,Terminé,2023-03-13,56
cae12034-fc19-4a9a-be46-f3b7c83a2dd5,proj-9,emp-38,La possibilité de concrétiser vos projets avant-tout,Haut poussière ensemble eh.,Terminé,2023-01-21,78
f3bcc72c-46bd-4d95-a770-9ee356c89061,proj-9,emp-43,Customizable 3rdgeneration Graphical User Interface,Quality clearly worker during.,Terminé,2023-02-06,96
8ec6e14c-6011-4d8e-bca2-afcda65feed6,proj-9,emp-75,Reactive cohesive groupware,When discussion if continue policy it.,Terminé,2022-10-16,73
cf7d8355-eb93-45f2-9841-7d75ea95d859,proj-9,emp-43,User-centric reciprocal customer loyalty,Gris absolument cruel douleur prendre retenir musique retrouver.,Terminé,2022-10-20,65
8aa3a55f-8bd1-4763-b654-1a1bd632e3e1,proj-9,emp-15,Enterprise-wide high-level Graphic Interface,الأحمر فصل بينما ومن المسرح بالعمل بالولايات.,Terminé,2023-03-09,73
e22e6466-48f7-4e0a-8365-04e62a8715db,proj-9,emp-9,Monitored heuristic knowledgebase,Sport relationship father pass.,Terminé,2023-03-13,56
eb94aa6b-9cdd-4c83-afc6-efe22ab2b245,proj-9,emp-99,Synergistic client-driven functionalities,المتحدة التكاليف قد تصرّف بخطوط.,Terminé,2022-12-28,68
829ebad4-dcb6-4c4f-98ec-e8048aa93851,proj-9,emp-87,Re-engineered human-resource interface,عدم قد علاقة ٣٠ جيوب بينما الأولى.,Terminé,2023-02-16,87
852631d6-5f9d-476e-a219-902fcdcd00b7,proj-9,emp-87,Le pouvoir de concrétiser vos projets autrement,Indeed style major bar air set factor.,Terminé,2023-01-05,92
601994a8-a1ef-4822-9373-7c94dedd9f19,proj-9,emp-44,La possibilité d'innover plus facilement,Quel réfléchir mentir calme calme remettre saint.,Terminé,2023-03-07,68
ca77f2e2-f328-44bc-af82-3b6b8f02c37a,proj-9,emp-80,Le droit de changer autrement,الله ٣٠ بقد انتهت منتصف.,Terminé,2022-11-16,57
3c557915-ac2b-4901-b75a-ce9b9443c0d1,proj-10,emp-64,L'avantage d'atteindre vos buts plus facilement,Size spend south now.,Terminé,2024-08-09,81
0a7aea87-ffa9-4136-9658-6260c99c8c46,proj-10,emp-63,Grass-roots radical monitoring,يتسنّى القوى حول وقرى تطوير وبريطانيا.,Terminé,2024-09-11,62
f7151fc0-9b46-472f-aba0-0115b33b2068,proj-10,emp-73,Devolved web-enabled toolset,Volonté soit cent soirée.,Terminé,2024-03-28,58
eb36161b-aea0-4c39-a64d-2b6b78f5d8b8,proj-10,emp-63,Digitized transitional Graphic Interface,بينما خلاف الطرفين بحق بقصف عدد.,Terminé,2024-04-22,97
8d997b9e-74dc-4243-a812-00a0633629a2,proj-10,emp-36,Open-architected multimedia synergy,Il juge naturellement soleil séparer bête.,Terminé,2023-12-15,83
a9fbb270-c23c-4ff3-8daa-265b06085f05,proj-10,emp-69,L'assurance de louer à la pointe,Not magazine gas radio.,Terminé,2023-12-28,67
accd1602-b712-4f6a-9b29-c7d2580e356c,proj-10,emp-38,Balanced bandwidth-monitored product,Ceci signer herbe.,Terminé,2023-12-02,70
f979416c-dd14-44b0-a240-64c38cbbf2b0,proj-10,emp-25,Optimized dedicated solution,الإيطالية وسوء العالم غريمه الشطر.,Terminé,2024-03-20,78
86d73557-4218-4e08-bb84-48528e80330d,proj-10,emp-91,Le plaisir d'évoluer sans soucis,فهرست أخرى قررت مهمّات يطول بدول الأوربيين.,Terminé,2023-09-28,75
1fd04809-7062-48d5-98b6-6d2da63d7c97,proj-10,emp-26,Focused human-resource array,Billion happen federal him.,Terminé,2024-03-14,99
ee80f239-67c3-474e-9eab-87928d044d54,proj-10,emp-42,Stand-alone systematic circuit,حتى سليمان الاندونيسية انه الخاسرة للصين وجهان.,Terminé,2023-09-09,81
fda307b9-d983-4171-b8f6-0295f76a705f,proj-10,emp-67,Synergized leadingedge data-warehouse,الأولى الأعمال لدحر انه.,Terminé,2024-04-14,77
11546a14-6e12-47d6-8da3-af086650eab4,proj-10,emp-42,Le confort de changer en toute tranquilité,Easy over return expect.,Terminé,2024-06-29,59
0e4169fb-71bb-4185-b99e-bfd0d4bb4159,proj-10,emp-73,Assimilated stable framework,سقوط الثانية بالمطالبة علاقة مسؤولية مع السفن.,Terminé,2023-11-25,85
2a103ab2-b711-4d9a-92ce-9dd372c522eb,proj-10,emp-96,La possibilité de rouler avant-tout,Finir secret glace même.,Terminé,2024-03-01,83
5e89091e-a87b-433a-b909-9637f2fcee2f,proj-10,emp-68,Virtual methodical throughput,دنو أراض الخاطفة.,Terminé,2024-09-26,69
bb34b2c3-10dd-41e3-80be-ae64b1383182,proj-10,emp-64,Object-based motivating forecast,Short interest I policy Mrs check base.,Terminé,2023-12-03,63
7f63d86e-4554-4ec2-a91d-1273cfc1147c,proj-10,emp-82,Profound demand-driven workforce,النفط دفّة ليتسنّى عملية عقبت المجتمع بعرض.,Terminé,2024-05-25,81
5cf99e0e-0139-4fa6-af8e-35f7da2d30b6,proj-10,emp-13,Centralized dynamic array,Idée oiseau en que.,Terminé,2024-06-05,97
a113f705-6975-424a-a3c0-052554f40905,proj-10,emp-97,Enhanced bottom-line access,Reduce clearly well mission.,Terminé,2023-12-24,71
83a1ce06-943d-45e8-903f-bf3403f65551,proj-10,emp-36,Fundamental composite hub,لعملة الأرض وبريطانيا الولايات بسبب.,Terminé,2023-09-29,76
ab45d3d0-c595-4f57-bf62-b920381b39d4,proj-10,emp-48,Cloned empowering structure,Baby lawyer growth matter note happy effort bill.,Terminé,2024-03-02,60
b7ae7390-fbe0-4fb9-8f59-6d35ee5468c2,proj-10,emp-14,Synergistic uniform budgetary management,أجزاء والإتحاد أدوات أن باستحداث وجهان التقليدي.,Terminé,2024-05-20,87
a65772ed-40b9-40fc-9691-3d3b53f08986,proj-10,emp-76,Reactive transitional support,Different eat trouble floor step number.,Terminé,2024-10-24,86
c1d341fa-c5d2-4667-bd08-2798a77164d5,proj-10,emp-19,Profit-focused systematic application,مكثّفة يتم وقوعها إستيلاء بلمّ.,Terminé,2024-10-21,67
36cc9198-c992-41ae-91d7-74ab454660ca,proj-11,emp-demo-sara,L'art d'avancer à la pointe,Falloir éclairer répondre.,Terminé,2024-01-17,82
1283ff07-e21b-4fc9-ab47-7f7ad1847a70,proj-11,emp-12,Secured dynamic Local Area Network,Vide vraiment remonter puis mémoire retenir cheval toute.,Terminé,2024-03-01,59
db96e087-26ac-4e12-8cfe-d1d4f787a89f,proj-11,emp-45,Focused needs-based hardware,Week ability price.,Terminé,2024-02-19,88
273d357a-0a3a-4fcc-9a87-0eb88aac798d,proj-11,emp-12,Upgradable fault-tolerant benchmark,يتمكن بدارت ومحاولة ويتّفق الإتحاد العصبة أمّا.,Terminé,2024-02-16,77
7589cc15-c0a2-43e5-a6f5-fc0532834e7c,proj-11,emp-67,Programmable incremental standardization,Vieux bas bientôt cesser rue avance monsieur.,Terminé,2024-01-26,99
c9977a93-315e-4e78-9d63-7e64744ad9ec,proj-11,emp-33,Le pouvoir de louer avant-tout,Déjà trésor chair regretter brusquement.,Terminé,2024-01-11,100
