id,employee_id,benefit_plan_id,status,effective_date,renewal_date,tier_label,employer_contribution,notes
benefit-emp-44-retirement,emp-44,benefit-retirement,active,2021-06-20,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-45-health,emp-45,benefit-health,active,2022-11-26,2026-10-01,Premium,960,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-45-mobility,emp-45,benefit-mobility,active,2022-11-26,2026-09-01,Premium,2400,Plan Plan Mobilité Durable collaborateur.
benefit-emp-45-retirement,emp-45,benefit-retirement,active,2022-11-26,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-46-health,emp-46,benefit-health,eligible,2023-11-15,2026-10-01,Standard,1800,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-46-mobility,emp-46,benefit-mobility,eligible,2023-11-15,2026-09-01,Standard,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-46-retirement,emp-46,benefit-retirement,eligible,2023-11-15,2026-01-01,Standard,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-47-health,emp-47,benefit-health,active,2025-02-18,2026-10-01,Premium,2400,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-47-mobility,emp-47,benefit-mobility,active,2025-02-18,2026-09-01,Premium,1800,Plan Plan Mobilité Durable collaborateur.
benefit-emp-47-retirement,emp-47,benefit-retirement,active,2025-02-18,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-48-health,emp-48,benefit-health,active,2022-12-10,2026-10-01,Premium,960,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-48-mobility,emp-48,benefit-mobility,active,2022-12-10,2026-09-01,Premium,960,Plan Plan Mobilité Durable collaborateur.
benefit-emp-48-retirement,emp-48,benefit-retirement,active,2022-12-10,2026-01-01,Premium,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-49-health,emp-49,benefit-health,active,2024-04-01,2026-10-01,Premium,1800,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-49-mobility,emp-49,benefit-mobility,active,2024-04-01,2026-09-01,Premium,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-49-retirement,emp-49,benefit-retirement,active,2024-04-01,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-50-health,emp-50,benefit-health,active,2021-08-30,2026-10-01,Premium,1800,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-50-mobility,emp-50,benefit-mobility,active,2021-08-30,2026-09-01,Premium,960,Plan Plan Mobilité Durable collaborateur.
benefit-emp-50-retirement,emp-50,benefit-retirement,active,2021-08-30,2026-01-01,Premium,960,Plan Plan Épargne Retraite collaborateur.
benefit-emp-51-health,emp-51,benefit-health,active,2025-05-16,2026-10-01,Premium,960,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-51-mobility,emp-51,benefit-mobility,active,2025-05-16,2026-09-01,Premium,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-51-retirement,emp-51,benefit-retirement,active,2025-05-16,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-52-health,emp-52,benefit-health,active,2024-09-05,2026-10-01,Premium,2400,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-52-mobility,emp-52,benefit-mobility,active,2024-09-05,2026-09-01,Premium,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-52-retirement,emp-52,benefit-retirement,active,2024-09-05,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-53-health,emp-53,benefit-health,active,2022-08-05,2026-10-01,Premium,420,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-53-mobility,emp-53,benefit-mobility,active,2022-08-05,2026-09-01,Premium,2400,Plan Plan Mobilité Durable collaborateur.
benefit-emp-53-retirement,emp-53,benefit-retirement,active,2022-08-05,2026-01-01,Premium,2400,Plan Plan Épargne Retraite collaborateur.
benefit-emp-54-health,emp-54,benefit-health,eligible,2022-09-28,2026-10-01,Standard,2400,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-54-mobility,emp-54,benefit-mobility,eligible,2022-09-28,2026-09-01,Standard,960,Plan Plan Mobilité Durable collaborateur.
benefit-emp-54-retirement,emp-54,benefit-retirement,eligible,2022-09-28,2026-01-01,Standard,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-55-health,emp-55,benefit-health,eligible,2025-10-20,2026-10-01,Standard,1800,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-55-mobility,emp-55,benefit-mobility,eligible,2025-10-20,2026-09-01,Standard,2400,Plan Plan Mobilité Durable collaborateur.
benefit-emp-55-retirement,emp-55,benefit-retirement,eligible,2025-10-20,2026-01-01,Standard,960,Plan Plan Épargne Retraite collaborateur.
benefit-emp-56-health,emp-56,benefit-health,eligible,2023-07-24,2026-10-01,Standard,2400,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-56-mobility,emp-56,benefit-mobility,eligible,2023-07-24,2026-09-01,Standard,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-56-retirement,emp-56,benefit-retirement,eligible,2023-07-24,2026-01-01,Standard,1800,Plan Plan Épargne Retraite collaborateur.
benefit-emp-57-health,emp-57,benefit-health,active,2026-01-06,2026-10-01,Premium,420,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-57-mobility,emp-57,benefit-mobility,active,2026-01-06,2026-09-01,Premium,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-57-retirement,emp-57,benefit-retirement,active,2026-01-06,2026-01-01,Premium,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-58-health,emp-58,benefit-health,eligible,2021-10-21,2026-10-01,Standard,2400,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-58-mobility,emp-58,benefit-mobility,eligible,2021-10-21,2026-09-01,Standard,420,Plan Plan Mobilité Durable collaborateur.
benefit-emp-58-retirement,emp-58,benefit-retirement,eligible,2021-10-21,2026-01-01,Standard,960,Plan Plan Épargne Retraite collaborateur.
benefit-emp-59-health,emp-59,benefit-health,active,2021-07-27,2026-10-01,Premium,960,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-59-mobility,emp-59,benefit-mobility,active,2021-07-27,2026-09-01,Premium,1800,Plan Plan Mobilité Durable collaborateur.
benefit-emp-59-retirement,emp-59,benefit-retirement,active,2021-07-27,2026-01-01,Premium,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-60-health,emp-60,benefit-health,active,2024-10-04,2026-10-01,Premium,420,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-60-mobility,emp-60,benefit-mobility,active,2024-10-04,2026-09-01,Premium,960,Plan Plan Mobilité Durable collaborateur.
benefit-emp-60-retirement,emp-60,benefit-retirement,active,2024-10-04,2026-01-01,Premium,420,Plan Plan Épargne Retraite collaborateur.
benefit-emp-61-health,emp-61,benefit-health,eligible,2023-07-29,2026-10-01,Standard,420,Plan Mutuelle Pulse Santé collaborateur.
benefit-emp-61-mobility,emp-61,benefit-mobility,eligible,2023-07-29,2026-09-01,Standard,960,Plan Plan Mobilité Durable collaborateur.
benefit-emp-61-retirement,emp-61,benefit-retirement,eligible,2023-07-29,2026-01-01,Standard,1800,Plan Plan Épargne Retraite collaborateur.
benefit-emp-62-health,emp-62,benefit-health,active,2023-06-16,2026-10-01,Premium,960,Plan Mutuelle Pulse Santé collaborateur.
